Mach;p0/p;rho0/rho;T0/T;A/A*
0.2000E-01; 0.1000E+01; 0.1000e+01; 0.1000E+01; 0.2894E+02
0.4000E-01; 0.1001E+01; 0.1001e+01; 0.1000E+01; 0.1448E+02
0.6000E-01; 0.1003E+01; 0.1002e+01; 0.1001E+01; 0.9666E+01
0.8000E-01; 0.1004E+01; 0.1003e+01; 0.1001E+01; 0.7262E+01
0.1000E+00; 0.1007E+01; 0.1005e+01; 0.1002E+01; 0.5822E+01
0.1200E+00; 0.1010E+01; 0.1007e+01; 0.1003E+01; 0.4864E+01
0.1400E+00; 0.1014E+01; 0.1010e+01; 0.1004E+01; 0.4182E+01
0.1600E+00; 0.1018E+01; 0.1013e+01; 0.1005E+01; 0.3673E+01
0.1800E+00; 0.1023E+01; 0.1016e+01; 0.1006E+01; 0.3278E+01
0.2000E+00; 0.1028E+01; 0.1020e+01; 0.1008E+01; 0.2964E+01
0.2200E+00; 0.1034E+01; 0.1024e+01; 0.1010E+01; 0.2708E+01
0.2400E+00; 0.1041E+01; 0.1029e+01; 0.1012E+01; 0.2496E+01
0.2600E+00; 0.1048E+01; 0.1034e+01; 0.1014E+01; 0.2317E+01
0.2800E+00; 0.1056E+01; 0.1040e+01; 0.1016E+01; 0.2166E+01
0.3000E+00; 0.1064E+01; 0.1046e+01; 0.1018E+01; 0.2035E+01
0.3200E+00; 0.1074E+01; 0.1052e+01; 0.1020E+01; 0.1922E+01
0.3400E+00; 0.1083E+01; 0.1059e+01; 0.1023E+01; 0.1823E+01
0.3600E+00; 0.1094E+01; 0.1066e+01; 0.1026E+01; 0.1736E+01
0.3800E+00; 0.1105E+01; 0.1074e+01; 0.1029E+01; 0.1659E+01
0.4000E+00; 0.1117E+01; 0.1082e+01; 0.1032E+01; 0.1590E+01
0.4200E+00; 0.1129E+01; 0.1091e+01; 0.1035E+01; 0.1529E+01
0.4400E+00; 0.1142E+01; 0.1100e+01; 0.1039E+01; 0.1474E+01
0.4600E+00; 0.1156E+01; 0.1109e+01; 0.1042E+01; 0.1425E+01
0.4800E+00; 0.1171E+01; 0.1119e+01; 0.1046E+01; 0.1380E+01
0.5000E+00; 0.1186E+01; 0.1130e+01; 0.1050E+01; 0.1340E+01
0.5200E+00; 0.1202E+01; 0.1141e+01; 0.1054E+01; 0.1303E+01
0.5400E+00; 0.1219E+01; 0.1152e+01; 0.1058E+01; 0.1270E+01
0.5600E+00; 0.1237E+01; 0.1164e+01; 0.1063E+01; 0.1240E+01
0.5800E+00; 0.1256E+01; 0.1177e+01; 0.1067E+01; 0.1213E+01
0.6000E+00; 0.1276E+01; 0.1190e+01; 0.1072E+01; 0.1188E+01
0.6200E+00; 0.1296E+01; 0.1203e+01; 0.1077E+01; 0.1166E+01
0.6400E+00; 0.1317E+01; 0.1218e+01; 0.1082E+01; 0.1145E+01
0.6600E+00; 0.1340E+01; 0.1232e+01; 0.1087E+01; 0.1127E+01
0.6800E+00; 0.1363E+01; 0.1247e+01; 0.1092E+01; 0.1110E+01
0.7000E+00; 0.1387E+01; 0.1263e+01; 0.1098E+01; 0.1094E+01
0.7200E+00; 0.1412E+01; 0.1280e+01; 0.1104E+01; 0.1081E+01
0.7400E+00; 0.1439E+01; 0.1297e+01; 0.1110E+01; 0.1068E+01
0.7600E+00; 0.1466E+01; 0.1314e+01; 0.1116E+01; 0.1057E+01
0.7800E+00; 0.1495E+01; 0.1333e+01; 0.1122E+01; 0.1047E+01
0.8000E+00; 0.1524E+01; 0.1351e+01; 0.1128E+01; 0.1038E+01
0.8200E+00; 0.1555E+01; 0.1371e+01; 0.1134E+01; 0.1030E+01
0.8400E+00; 0.1587E+01; 0.1391e+01; 0.1141E+01; 0.1024E+01
0.8600E+00; 0.1621E+01; 0.1412e+01; 0.1148E+01; 0.1018E+01
0.8800E+00; 0.1655E+01; 0.1433e+01; 0.1155E+01; 0.1013E+01
0.9000E+00; 0.1691E+01; 0.1456e+01; 0.1162E+01; 0.1009E+01
0.9200E+00; 0.1729E+01; 0.1478e+01; 0.1169E+01; 0.1006E+01
0.9400E+00; 0.1767E+01; 0.1502e+01; 0.1177E+01; 0.1003E+01
0.9600E+00; 0.1808E+01; 0.1526e+01; 0.1184E+01; 0.1001E+01
0.9800E+00; 0.1850E+01; 0.1552e+01; 0.1192E+01; 0.1000E+01
0.1000E+01; 0.1893E+01; 0.1577e+01; 0.1200E+01; 0.1000E+01
0.1020E+01; 0.1938E+01; 0.1604e+01; 0.1208E+01; 0.1000E+01
0.1040E+01; 0.1985E+01; 0.1632e+01; 0.1216E+01; 0.1001E+01
0.1060E+01; 0.2033E+01; 0.1660e+01; 0.1225E+01; 0.1003E+01
0.1080E+01; 0.2083E+01; 0.1689e+01; 0.1233E+01; 0.1005E+01
0.1100E+01; 0.2135E+01; 0.1719e+01; 0.1242E+01; 0.1008E+01
0.1120E+01; 0.2189E+01; 0.1750e+01; 0.1251E+01; 0.1011E+01
0.1140E+01; 0.2245E+01; 0.1782e+01; 0.1260E+01; 0.1015E+01
0.1160E+01; 0.2303E+01; 0.1814e+01; 0.1269E+01; 0.1020E+01
0.1180E+01; 0.2363E+01; 0.1848e+01; 0.1278E+01; 0.1025E+01
0.1200E+01; 0.2425E+01; 0.1883e+01; 0.1288E+01; 0.1030E+01
0.1220E+01; 0.2489E+01; 0.1918e+01; 0.1298E+01; 0.1037E+01
0.1240E+01; 0.2556E+01; 0.1955e+01; 0.1308E+01; 0.1043E+01
0.1260E+01; 0.2625E+01; 0.1992e+01; 0.1318E+01; 0.1050E+01
0.1280E+01; 0.2697E+01; 0.2031e+01; 0.1328E+01; 0.1058E+01
0.1300E+01; 0.2771E+01; 0.2071e+01; 0.1338E+01; 0.1066E+01
0.1320E+01; 0.2847E+01; 0.2112e+01; 0.1348E+01; 0.1075E+01
0.1340E+01; 0.2927E+01; 0.2153e+01; 0.1359E+01; 0.1084E+01
0.1360E+01; 0.3009E+01; 0.2197e+01; 0.1370E+01; 0.1094E+01
