Mach; p2/p1; rho2/rho1; T2/T1; p02/p01; p02/p1; M2
0.1000E+01; 0.1000E+01; 0.1000E+01; 0.1000E+01; 0.1000E+01; 0.1893E+01; 0.1000E+01
0.1020E+01; 0.1047E+01; 0.1033E+01; 0.1013E+01; 0.1000E+01; 0.1938E+01; 0.9805E+00
0.1040E+01; 0.1095E+01; 0.1067E+01; 0.1026E+01; 0.9999E+00; 0.1984E+01; 0.9620E+00
0.1060E+01; 0.1144E+01; 0.1101E+01; 0.1039E+01; 0.9998E+00; 0.2032E+01; 0.9444E+00
0.1080E+01; 0.1194E+01; 0.1135E+01; 0.1052E+01; 0.9994E+01; 0.2082E+01; 0.9277E+00
0.1100E+01; 0.1245E+01; 0.1169E+01; 0.1065E+01; 0.9989E+00; 0.2133E+01; 0.9118E+00
0.1120E+01; 0.1297E+01; 0.1203E+01; 0.1078E+01; 0.9982E+00; 0.2185E+01; 0.8966E+00
0.1140E+01; 0.1350E+01; 0.1238E+01; 0.1090E+01; 0.9973E+00; 0.2239E+01; 0.8820E+00
0.1160E+01; 0.1403E+01; 0.1272E+01; 0.1103E+01; 0.9961E+00; 0.2294E+01; 0.8682E+00
0.1180E+01; 0.1458E+01; 0.1307E+01; 0.1115E+01; 0.9946E+00; 0.2350E+01; 0.8549E+00
0.1200E+01; 0.1513E+01; 0.1342E+01; 0.1128E+01; 0.9928E+00; 0.2408E+01; 0.8422E+00
0.1220E+01; 0.1570E+01; 0.1376E+01; 0.1141E+01; 0.9907E+00; 0.2466E+01; 0.8300E+00
0.1240E+01; 0.1627E+01; 0.1411E+01; 0.1153E+01; 0.9884E+00; 0.2526E+01; 0.8183E+00
0.1260E+01; 0.1686E+01; 0.1446E+01; 0.1166E+01; 0.9857E+00; 0.2588E+01; 0.8071E+00
0.1280E+01; 0.1745E+01; 0.1481E+01; 0.1178E+01; 0.9827E+00; 0.2650E+01; 0.7963E+00
0.1300E+01; 0.1805E+01; 0.1516E+01; 0.1191E+01; 0.9794E+00; 0.2714E+01; 0.7860E+00
0.1320E+01; 0.1866E+01; 0.1551E+01; 0.1204E+01; 0.9758E+00; 0.2778E+01; 0.7760E+00
0.1340E+01; 0.1928E+01; 0.1585E+01; 0.1216E+01; 0.9718E+00; 0.2844E+01; 0.7664E+00
0.1360E+01; 0.1991E+01; 0.1620E+01; 0.1229E+01; 0.9676E+00; 0.2912E+01; 0.7572E+00
0.1380E+01; 0.2055E+01; 0.1655E+01; 0.1242E+01; 0.9630E+00; 0.2980E+01; 0.7483E+00
0.1400E+01; 0.2120E+01; 0.1690E+01; 0.1255E+01; 0.9582E+00; 0.3049E+01; 0.7397E+00
0.1420E+01; 0.2186E+01; 0.1724E+01; 0.1268E+01; 0.9531E+00; 0.3120E+01; 0.7314E+00
0.1440E+01; 0.2253E+01; 0.1759E+01; 0.1281E+01; 0.9476E+00; 0.3191E+01; 0.7235E+00
0.1460E+01; 0.2320E+01; 0.1793E+01; 0.1294E+01; 0.9420E+00; 0.3264E+01; 0.7157E+00
0.1480E+01; 0.2389E+01; 0.1828E+01; 0.1307E+01; 0.9360E+00; 0.3338E+01; 0.7083E+00
0.1500E+01; 0.2458E+01; 0.1862E+01; 0.1320E+01; 0.9298E+00; 0.3413E+01; 0.7011E+00
0.1520E+01; 0.2529E+01; 0.1896E+01; 0.1334E+01; 0.9233E+00; 0.3489E+01; 0.6941E+00
0.1540E+01; 0.2600E+01; 0.1930E+01; 0.1347E+01; 0.9166E+00; 0.3567E+01; 0.6874E+00
0.1560E+01; 0.2673E+01; 0.1964E+01; 0.1361E+01; 0.9097E+00; 0.3645E+01; 0.6809E+00
0.1580E+01; 0.2746E+01; 0.1998E+01; 0.1374E+01; 0.9026E+00; 0.3724E+01; 0.6746E+00
0.1600E+01; 0.2820E+01; 0.2032E+01; 0.1388E+01; 0.8952E+00; 0.3805E+01; 0.6684E+00
0.1620E+01; 0.2895E+01; 0.2065E+01; 0.1402E+01; 0.8877E+00; 0.3887E+01; 0.6625E+00
0.1640E+01; 0.2971E+01; 0.2099E+01; 0.1416E+01; 0.8799E+00; 0.3969E+01; 0.6568E+00
0.1660E+01; 0.3048E+01; 0.2132E+01; 0.1430E+01; 0.8720E+00; 0.4053E+01; 0.6512E+00
0.1680E+01; 0.3126E+01; 0.2165E+01; 0.1444E+01; 0.8639E+00; 0.4138E+01; 0.6458E+00
0.1700E+01; 0.3205E+01; 0.2198E+01; 0.1458E+01; 0.8557E+00; 0.4224E+01; 0.6405E+00
0.1720E+01; 0.3285E+01; 0.2230E+01; 0.1473E+01; 0.8474E+00; 0.4311E+01; 0.6355E+00
0.1740E+01; 0.3366E+01; 0.2263E+01; 0.1487E+01; 0.8389E+00; 0.4399E+01; 0.6305E+00
0.1760E+01; 0.3447E+01; 0.2295E+01; 0.1502E+01; 0.8302E+00; 0.4488E+01; 0.6257E+00
0.1780E+01; 0.3530E+01; 0.2327E+01; 0.1517E+01; 0.8215E+00; 0.4578E+01; 0.6210E+00
0.1800E+01; 0.3613E+01; 0.2359E+01; 0.1532E+01; 0.8127E+00; 0.4670E+01; 0.6165E+00
0.1820E+01; 0.3698E+01; 0.2391E+01; 0.1547E+01; 0.8038E+00; 0.4762E+01; 0.6121E+00
0.1840E+01; 0.3783E+01; 0.2422E+01; 0.1562E+01; 0.7948E+00; 0.4855E+01; 0.6078E+00
0.1860E+01; 0.3870E+01; 0.2454E+01; 0.1577E+01; 0.7857E+00; 0.4950E+01; 0.6036E+00
0.1880E+01; 0.3957E+01; 0.2485E+01; 0.1592E+01; 0.7765E+00; 0.5045E+01; 0.5996E+00
0.1900E+01; 0.4045E+01; 0.2516E+01; 0.1608E+01; 0.7674E+00; 0.5142E+01; 0.5956E+00
0.1920E+01; 0.4134E+01; 0.2546E+01; 0.1624E+01; 0.7581E+00; 0.5239E+01; 0.5918E+00
0.1940E+01; 0.4224E+01; 0.2577E+01; 0.1639E+01; 0.7488E+00; 0.5338E+01; 0.5880E+00
0.1960E+01; 0.4315E+01; 0.2607E+01; 0.1655E+01; 0.7395E+00; 0.5438E+01; 0.5844E+00
0.1980E+01; 0.4407E+01; 0.2637E+01; 0.1671E+01; 0.7302E+00; 0.5539E+01; 0.5808E+00
0.2000E+01; 0.4500E+01; 0.2667E+01; 0.1687E+01; 0.7209E+00; 0.5640E+01; 0.5774E+00
0.2050E+01; 0.4736E+01; 0.2740E+01; 0.1729E+01; 0.6975E+00; 0.5900E+01; 0.5691E+00
0.2100E+01; 0.4978E+01; 0.2812E+01; 0.1770E+01; 0.6742E+00; 0.6165E+01; 0.5613E+00
0.2150E+01; 0.5226E+01; 0.2882E+01; 0.1813E+01; 0.6511E+00; 0.6438E+01; 0.5540E+00
0.2200E+01; 0.5480E+01; 0.2951E+01; 0.1857E+01; 0.6281E+00; 0.6716E+01; 0.5471E+00
0.2250E+01; 0.5740E+01; 0.3019E+01; 0.1901E+01; 0.6055E+00; 0.7002E+01; 0.5406E+00
0.2300E+01; 0.6005E+01; 0.3085E+01; 0.1947E+01; 0.5833E+00; 0.7294E+01; 0.5344E+00
0.2350E+01; 0.6276E+01; 0.3149E+01; 0.1993E+01; 0.5615E+00; 0.7592E+01; 0.5286E+00
0.2400E+01; 0.6553E+01; 0.3212E+01; 0.2040E+01; 0.5401E+00; 0.7897E+01; 0.5231E+00
0.2450E+01; 0.6836E+01; 0.3273E+01; 0.2088E+01; 0.5193E+00; 0.8208E+01; 0.5179E+00
0.2500E+01; 0.7125E+01; 0.3333E+01; 0.2137E+01; 0.4990E+00; 0.8526E+01; 0.5130E+00
0.2550E+01; 0.7420E+01; 0.3392E+01; 0.2187E+01; 0.4793E+00; 0.8850E+01; 0.5083E+00
0.2600E+01; 0.7720E+01; 0.3449E+01; 0.2238E+01; 0.4601E+00; 0.9181E+01; 0.5039E+00
0.2650E+01; 0.8026E+01; 0.3505E+01; 0.2290E+01; 0.4416E+00; 0.9519E+01; 0.4996E+00
0.2700E+01; 0.8338E+01; 0.3559E+01; 0.2343E+01; 0.4236E+00; 0.9862E+01; 0.4956E+00
0.2750E+01; 0.8656E+01; 0.3612E+01; 0.2397E+01; 0.4062E+00; 0.1021E+02; 0.4918E+00
0.2800E+01; 0.8980E+01; 0.3664E+01; 0.2451E+01; 0.3895E+00; 0.1057E+02; 0.4882E+00
0.2850E+01; 0.9310E+01; 0.3714E+01; 0.2507E+01; 0.3733E+00; 0.1093E+02; 0.4847E+00
0.2900E+01; 0.9645E+01; 0.3763E+01; 0.2563E+01; 0.3577E+00; 0.1130E+02; 0.4814E+00
0.2950E+01; 0.9986E+01; 0.3811E+01; 0.2621E+01; 0.3428E+00; 0.1168E+02; 0.4782E+00
0.3000E+01; 0.1033E+02; 0.3857E+01; 0.2679E+01; 0.3283E+00; 0.1206E+02; 0.4752E+00
0.3050E+01; 0.1069E+02; 0.3902E+01; 0.2738E+01; 0.3145E+00; 0.1245E+02; 0.4723E+00
0.3100E+01; 0.1104E+02; 0.3947E+01; 0.2799E+01; 0.3012E+00; 0.1285E+02; 0.4695E+00
