Mach; nu; mu
0.1000E+01; 0.0000E+00; 0.9000E+02
0.1020E+01; 0.1257E+00; 0.7864E+02
0.1040E+01; 0.3510E+00; 0.7406E+02
0.1060E+01; 0.6367E+00; 0.7063E+02
0.1080E+01; 0.9680E+00; 0.6781E+02
0.1100E+01; 0.1336E+01; 0.6538E+02
0.1120E+01; 0.1735E+01; 0.6323E+02
0.1140E+01; 0.2160E+01; 0.6131E+02
0.1160E+01; 0.2607E+01; 0.5955E+02
0.1180E+01; 0.3074E+01; 0.5794E+02
0.1200E+01; 0.3558E+01; 0.5644E+02
0.1220E+01; 0.4057E+01; 0.5505E+02
0.1240E+01; 0.4569E+01; 0.5375E+02
0.1260E+01; 0.5093E+01; 0.5253E+02
0.1280E+01; 0.5627E+01; 0.5138E+02
0.1300E+01; 0.6170E+01; 0.5028E+02
0.1320E+01; 0.6721E+01; 0.4925E+02
0.1340E+01; 0.7279E+01; 0.4827E+02
0.1360E+01; 0.7844E+01; 0.4733E+02
0.1380E+01; 0.8413E+01; 0.4644E+02
0.1400E+01; 0.8987E+01; 0.4558E+02
0.1420E+01; 0.9565E+01; 0.4477E+02
0.1440E+01; 0.1015E+02; 0.4398E+02
0.1460E+01; 0.1073E+02; 0.4323E+02
0.1480E+01; 0.1132E+02; 0.4251E+02
0.1500E+01; 0.1191E+02; 0.4181E+02
0.1520E+01; 0.1249E+02; 0.4114E+02
0.1540E+01; 0.1309E+02; 0.4049E+02
0.1560E+01; 0.1368E+02; 0.5087E+02
0.1580E+01; 0.1427E+02; 0.3927E+02
0.1600E+01; 0.1486E+02; 0.3868E+02
0.1620E+01; 0.1545E+02; 0.3812E+02
0.2700E+01; 0.4362E+02; 0.2174E+02
0.2750E+01; 0.4469E+02; 0.2132E+02
0.2800E+01; 0.4575E+02; 0.2092E+02
0.2850E+01; 0.4678E+02; 0.2054E+02
0.2900E+01; 0.4779E+02; 0.2017E+02
0.2950E+01; 0.4878E+02; 0.1981E+02
0.3000E+01; 0.4976E+02; 0.1947E+02
0.3050E+01; 0.5071E+02; 0.1914E+02
0.3100E+01; 0.5165E+02; 0.1882E+02
0.3150E+01; 0.5257E+02; 0.1851E+02
0.3200E+01; 0.5347E+02; 0.1821E+02
0.3250E+01; 0.5435E+02; 0.1792E+02
0.3300E+01; 0.5522E+02; 0.1764E+02
0.3350E+01; 0.5607E+02; 0.1737E+02
0.3400E+01; 0.5691E+02; 0.1710E+02
0.3450E+01; 0.5773E+02; 0.1685E+02
0.3500E+01; 0.5853E+02; 0.1660E+02
0.3550E+01; 0.5932E+02; 0.1636E+02
0.3600E+01; 0.6009E+02; 0.1613E+02
0.3650E+01; 0.6085E+02; 0.1590E+02
0.3700E+01; 0.6160E+02; 0.1568E+02
0.3750E+01; 0.6233E+02; 0.1547E+02
0.3800E+01; 0.6304E+02; 0.1526E+02
0.3850E+01; 0.6375E+02; 0.1505E+02
0.3900E+01; 0.6444E+02; 0.1486E+02
0.3950E+01; 0.6512E+02; 0.1466E+02
0.4000E+01; 0.6578E+02; 0.1448E+02
0.4050E+01; 0.6644E+02; 0.1429E+02
0.4100E+01; 0.6708E+02; 0.1412E+02
0.4150E+01; 0.6771E+02; 0.1394E+02
0.4200E+01; 0.6833E+02; 0.1377E+02
0.4250E+01; 0.6894E+02; 0.1361E+02
0.4300E+01; 0.6954E+02; 0.1345E+02
0.4350E+01; 0.7013E+02; 0.1329E+02
0.4400E+01; 0.7071E+02; 0.1314E+02
0.4450E+01; 0.7127E+02; 0.1299E+02
0.4500E+01; 0.7183E+02; 0.1284E+02
0.4550E+01; 0.7238E+02; 0.1270E+02
0.4600E+01; 0.7292E+02; 0.1256E+02
0.4650E+01; 0.7345E+02; 0.1242E+02
